Beta;Mach;AoA;Re/1e6;CL;CDo;CDi;CDtot;CDt;CDtot_t;CS;L/D;E;CFx;CFy;CFz;CMx;CMy;CMz;CMl;CMm;CMn;FOpt
0;0;-30.75;0.135359;-1.3005106;0.0645389155;0.189394881;1.12924453;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-30.5;0.135359;-1.3005106;0.0645389155;0.189394881;1.10017948;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-30.25;0.135359;-1.3005106;0.0645389155;0.189394881;1.07159052;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-30;0.135359;-1.3005106;0.0645389155;0.189394881;1.04347764;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-29.75;0.135359;-1.3005106;0.0645389155;0.189394881;1.01584085;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-29.5;0.135359;-1.3005106;0.0645389155;0.189394881;0.988680139;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-29.25;0.135359;-1.3005106;0.0645389155;0.189394881;0.961995512;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-29;0.135359;-1.3005106;0.0645389155;0.189394881;0.935786968;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-28.75;0.135359;-1.3005106;0.0645389155;0.189394881;0.910054508;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-28.5;0.135359;-1.3005106;0.0645389155;0.189394881;0.884798132;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-28.25;0.135359;-1.3005106;0.0645389155;0.189394881;0.860017839;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-28;0.135359;-1.3005106;0.0645389155;0.189394881;0.83571363;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
